ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	analyzer	failure_reason
1416205312.697554	CyQC2o4uoLcwIHUMIj	219.94.239.50	48752	192.168.0.13	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1416205313.892944	CV9JLO2Wmo6N31MIGc	219.94.239.50	37118	192.168.0.12	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416205317.463427	COJUfItuUita37MQ3	219.94.239.50	49391	192.168.0.13	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1416205321.765262	C9oSst19qWjanLLIM7	219.94.239.50	57713	192.168.0.12	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416205322.473887	Cgswwq27jKRVOfYAfc	219.94.239.50	44431	192.168.0.15	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1416205326.540567	CU1Juq14rh505dXfa6	219.94.239.50	35735	192.168.0.15	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1416205327.473562	Cgswwq27jKRVOfYAfc	219.94.239.50	44431	192.168.0.15	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1416205332.696097	CyQC2o4uoLcwIHUMIj	219.94.239.50	48752	192.168.0.13	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416205337.461632	COJUfItuUita37MQ3	219.94.239.50	49391	192.168.0.13	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416205346.539046	CU1Juq14rh505dXfa6	219.94.239.50	35735	192.168.0.15	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416205347.471986	Cgswwq27jKRVOfYAfc	219.94.239.50	44431	192.168.0.15	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416215691.911370	CK8WK32Ty8lKrbRmxa	219.94.239.50	34081	192.168.13.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1416215709.420676	Cqb6P02VRj8031kzU8	219.94.239.50	58782	192.168.14.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1416215715.026247	C4ldS32YYbczvFvprf	219.94.239.50	41235	192.168.15.10	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1416215739.407483	CK8WK32Ty8lKrbRmxa	219.94.239.50	34081	192.168.13.254	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1416215756.916646	Cqb6P02VRj8031kzU8	219.94.239.50	58782	192.168.14.254	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1416215759.406098	CK8WK32Ty8lKrbRmxa	219.94.239.50	34081	192.168.13.254	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416215762.522957	C4ldS32YYbczvFvprf	219.94.239.50	41235	192.168.15.10	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1416215776.916670	Cqb6P02VRj8031kzU8	219.94.239.50	58782	192.168.14.254	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416215782.522322	C4ldS32YYbczvFvprf	219.94.239.50	41235	192.168.15.10	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416215791.910515	CJowlv1fJB1ZJanw1	219.94.239.50	34651	192.168.15.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1416215839.406729	CJowlv1fJB1ZJanw1	219.94.239.50	34651	192.168.15.254	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1416215859.405229	CJowlv1fJB1ZJanw1	219.94.239.50	34651	192.168.15.254	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1416216634.398250	CHF3jTaySB37YbS15	219.94.239.50	49173	192.168.14.254	80	tcp	HTTP	not a http reply line
1416216648.443577	CxOsb01qlcBoz8I9e5	219.94.239.50	54517	192.168.15.254	80	tcp	HTTP	not a http reply line
1416216651.179220	COIjuw2nWpEnwtHlkb	219.94.239.50	43457	192.168.13.254	80	tcp	HTTP	not a http reply line
1416826361.997326	CPMxpozVLSUQiwmI2	185.35.62.11	34273	192.168.13.254	80	tcp	HTTP	not a http reply line
1416870137.325127	C4GMLu4IWCAtPuKPWl	217.31.48.30	46959	192.168.13.254	80	tcp	HTTP	not a http reply line
1416876439.827840	ChF77Ad3k3I6wCLS1	217.31.48.30	43094	192.168.14.254	80	tcp	HTTP	not a http reply line
1416936427.148146	CL7BlK3B7wyJHESE2h	217.31.48.30	54660	192.168.15.254	80	tcp	HTTP	not a http reply line
1416936427.742029	CP6IeQ3TRdl5nQTt4e	217.31.48.30	54935	192.168.15.254	80	tcp	HTTP	not a http reply line
1417008004.657173	C89xGo1wG0l0FX2Lhc	69.165.131.14	57939	192.168.0.13	80	tcp	HTTP	not a http reply line
1417008306.778776	COiDrm4wumZxju4WT3	188.127.246.57	51111	192.168.0.12	80	tcp	HTTP	not a http reply line
1417632413.560004	CoQZWp3rQ1Vf9XNM9f	113.105.152.182	53577	192.168.13.254	80	tcp	HTTP	not a http reply line
1417632413.799712	C2SKA43cSVyHE6zAD8	113.105.152.182	34897	192.168.14.254	80	tcp	HTTP	not a http reply line
1417632413.946924	CyF7K12h7S4XXVfBQi	113.105.152.182	52675	192.168.15.254	80	tcp	HTTP	not a http reply line
1417632414.408572	ClNrv6Mw67Cvm43l1	113.105.152.182	33959	192.168.13.254	80	tcp	HTTP	not a http reply line
1418244346.727632	CTE3zh2ScsmLClY5ba	94.73.140.66	40742	192.168.15.254	80	tcp	HTTP	not a http reply line
1418244346.734924	CD28l5wuDQIYKACf1	94.73.140.66	56658	192.168.13.254	80	tcp	HTTP	not a http reply line
1418244347.051757	CtPrUO3udFLU4GbUH1	94.73.140.66	36942	192.168.14.254	80	tcp	HTTP	not a http reply line
1418256410.260501	CKevhAKQGC3csMdS1	91.250.96.147	58882	192.168.15.254	80	tcp	HTTP	not a http reply line
1418256410.337405	Ct5hft3EnNGZ81T1K	91.250.96.147	60678	192.168.14.254	80	tcp	HTTP	not a http reply line
1418256410.349277	CBSJFW2dGwl38MtWEe	91.250.96.147	49127	192.168.13.254	80	tcp	HTTP	not a http reply line
1418292124.646269	CcSdUYbrOga1YK7s5	185.35.62.11	47396	192.168.14.254	80	tcp	HTTP	not a http reply line
1418292415.126635	C1Q3rO23SCbWnPxcFc	130.192.108.117	37768	192.168.14.254	80	tcp	HTTP	not a http reply line
1418292415.240694	C6jLR517ySzsjLKUkl	130.192.108.117	50035	192.168.15.254	80	tcp	HTTP	not a http reply line
1418292415.270766	Cu2ZWHuZf5koHHiP3	130.192.108.117	39315	192.168.13.254	80	tcp	HTTP	not a http reply line
1418331634.062279	CD5q9V2Frr6L0pTIQc	202.169.228.10	36585	192.168.0.12	80	tcp	HTTP	not a http reply line
1418407387.738402	CW9hDw4WIcdiTYwsSc	103.16.126.150	13824	192.168.13.254	80	tcp	HTTP	not a http reply line
1418407387.776895	CkexPm2wnYNecfZeYb	103.16.126.150	52812	192.168.14.254	80	tcp	HTTP	not a http reply line
1418407387.805242	CCkmYj1b73V5BsGIF5	103.16.126.150	24726	192.168.15.254	80	tcp	HTTP	not a http reply line
1418562900.361108	CbzNWg27CUyZwyWIqg	185.28.193.98	56652	192.168.13.254	80	tcp	HTTP	not a http reply line
1418562902.686387	CVIOX431ziva9PKGUd	185.28.193.98	58359	192.168.14.254	80	tcp	HTTP	not a http reply line
1418562910.364199	CsDPhqSXTf6v9tuu2	185.28.193.98	43036	192.168.15.254	80	tcp	HTTP	not a http reply line
1418619636.785746	Ckz2Aq2qJwCyJVVOfc	54.172.158.60	59787	192.168.13.254	80	tcp	HTTP	not a http reply line
1418728818.553266	C8TfGq4rN5jBDkCkCl	54.83.197.200	52890	192.168.15.254	80	tcp	HTTP	not a http reply line
1418728818.590257	Cif4Er1qwJARoCBO64	54.83.197.200	57459	192.168.13.254	80	tcp	HTTP	not a http reply line
1418784148.840067	Cc7xbD3ychLKvvrkyh	212.12.52.231	35599	192.168.0.15	80	tcp	HTTP	not a http reply line
1418784683.323890	CA5aOP1SWRm13NA8s9	212.150.134.132	45093	192.168.0.15	80	tcp	HTTP	not a http reply line
1418786342.773335	Cc2sSE73xLFo5GyX3	64.76.17.246	36944	192.168.0.15	80	tcp	HTTP	not a http reply line
1418788347.710906	CwdNu01JWys8YPDzf5	70.168.243.130	52371	192.168.0.15	80	tcp	HTTP	not a http reply line
1419098395.516400	COLQ8F4YyOAOgQK3Hd	115.182.68.151	54422	192.168.14.254	80	tcp	HTTP	not a http reply line
1419318428.951493	CWYuuo36dqI9i9wpsh	5.39.218.219	52298	192.168.0.13	53	udp	DNS	DNS_Conn_count_too_large
1419318436.620286	CV7cQl33MoJLlci7Z9	5.39.218.219	49688	192.168.0.13	137	udp	DNS	DNS_Conn_count_too_large
1419318461.454775	CWYuuo36dqI9i9wpsh	5.39.218.219	52298	192.168.0.13	53	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1419318462.117298	CyHDP144IKS8VMBXni	5.39.218.219	58417	192.168.0.13	67	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1419318462.175744	CcHPFx3HaAPeZssSb	5.39.218.219	55549	192.168.0.13	68	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
