ip	host
54.144.228.142	ec2-54-144-228-142.compute-1.amazonaws.com.
54.145.12.144	ec2-54-145-12-144.compute-1.amazonaws.com.
54.146.218.200	ec2-54-146-218-200.compute-1.amazonaws.com.
54.147.166.4	ec2-54-147-166-4.compute-1.amazonaws.com.
54.148.106.2	ec2-54-148-106-2.us-west-2.compute.amazonaws.com.
54.149.147.6	ec2-54-149-147-6.us-west-2.compute.amazonaws.com.
54.152.48.76	ec2-54-152-48-76.compute-1.amazonaws.com.
54.153.2.23	ec2-54-153-2-23.us-west-1.compute.amazonaws.com.
54.154.148.222	ec2-54-154-148-222.eu-west-1.compute.amazonaws.com.
54.160.100.202	ec2-54-160-100-202.compute-1.amazonaws.com.
54.161.173.164	ec2-54-161-173-164.compute-1.amazonaws.com.
54.164.63.157	ec2-54-164-63-157.compute-1.amazonaws.com.
54.165.131.222	ec2-54-165-131-222.compute-1.amazonaws.com.
54.166.168.96	ec2-54-166-168-96.compute-1.amazonaws.com.
54.167.120.246	ec2-54-167-120-246.compute-1.amazonaws.com.
54.168.13.206	ec2-54-168-13-206.ap-northeast-1.compute.amazonaws.com.
54.169.149.240	ec2-54-169-149-240.ap-southeast-1.compute.amazonaws.com.
54.171.105.63	ec2-54-171-105-63.eu-west-1.compute.amazonaws.com.
54.172.158.60	ec2-54-172-158-60.compute-1.amazonaws.com.
54.173.114.107	ec2-54-173-114-107.compute-1.amazonaws.com.
54.174.254.215	ec2-54-174-254-215.compute-1.amazonaws.com.
54.175.138.128	ec2-54-175-138-128.compute-1.amazonaws.com.
54.179.111.238	ec2-54-179-111-238.ap-southeast-1.compute.amazonaws.com.
54.183.130.117	ec2-54-183-130-117.us-west-1.compute.amazonaws.com.
54.184.80.101	ec2-54-184-80-101.us-west-2.compute.amazonaws.com.
54.185.15.40	ec2-54-185-15-40.us-west-2.compute.amazonaws.com.
54.186.125.60	ec2-54-186-125-60.us-west-2.compute.amazonaws.com.
54.187.240.33	ec2-54-187-240-33.us-west-2.compute.amazonaws.com.
54.188.249.165	ec2-54-188-249-165.us-west-2.compute.amazonaws.com.
54.190.28.64	ec2-54-190-28-64.us-west-2.compute.amazonaws.com.
54.191.170.55	ec2-54-191-170-55.us-west-2.compute.amazonaws.com.
54.193.112.177	ec2-54-193-112-177.us-west-1.compute.amazonaws.com.
54.194.132.186	ec2-54-194-132-186.eu-west-1.compute.amazonaws.com.
54.196.162.14	ec2-54-196-162-14.compute-1.amazonaws.com.
54.198.98.186	ec2-54-198-98-186.compute-1.amazonaws.com.
54.199.60.204	ec2-54-199-60-204.ap-northeast-1.compute.amazonaws.com.
54.200.22.158	ec2-54-200-22-158.us-west-2.compute.amazonaws.com.
54.201.107.151	ec2-54-201-107-151.us-west-2.compute.amazonaws.com.
54.203.103.68	ec2-54-203-103-68.us-west-2.compute.amazonaws.com.
54.204.171.195	ec2-54-204-171-195.compute-1.amazonaws.com.
54.205.166.66	ec2-54-205-166-66.compute-1.amazonaws.com.
54.206.77.87	ec2-54-206-77-87.ap-southeast-2.compute.amazonaws.com.
54.207.101.10	ec2-54-207-101-10.sa-east-1.compute.amazonaws.com.
54.211.114.218	ec2-54-211-114-218.compute-1.amazonaws.com.
54.215.249.253	ec2-54-215-249-253.us-west-1.compute.amazonaws.com.
54.216.76.57	ec2-54-216-76-57.eu-west-1.compute.amazonaws.com.
54.219.241.135	ec2-54-219-241-135.us-west-1.compute.amazonaws.com.
54.221.22.82	ec2-54-221-22-82.compute-1.amazonaws.com.
54.224.106.217	ec2-54-224-106-217.compute-1.amazonaws.com.
54.225.86.175	ec2-54-225-86-175.compute-1.amazonaws.com.
54.226.23.162	ec2-54-226-23-162.compute-1.amazonaws.com.
54.227.200.251	ec2-54-227-200-251.compute-1.amazonaws.com.
54.229.78.134	ec2-54-229-78-134.eu-west-1.compute.amazonaws.com.
54.232.170.248	ec2-54-232-170-248.sa-east-1.compute.amazonaws.com.
54.234.37.100	ec2-54-234-37-100.compute-1.amazonaws.com.
54.235.213.78	ec2-54-235-213-78.compute-1.amazonaws.com.
54.242.137.220	ec2-54-242-137-220.compute-1.amazonaws.com.
54.244.242.3	ec2-54-244-242-3.us-west-2.compute.amazonaws.com.
54.251.115.167	ec2-54-251-115-167.ap-southeast-1.compute.amazonaws.com.
54.252.169.183	ec2-54-252-169-183.ap-southeast-2.compute.amazonaws.com.
54.255.152.31	ec2-54-255-152-31.ap-southeast-1.compute.amazonaws.com.
54.64.37.5	ec2-54-64-37-5.ap-northeast-1.compute.amazonaws.com.
54.66.143.150	ec2-54-66-143-150.ap-southeast-2.compute.amazonaws.com.
54.67.101.54	ec2-54-67-101-54.us-west-1.compute.amazonaws.com.
54.68.17.11	ec2-54-68-17-11.us-west-2.compute.amazonaws.com.
54.69.102.166	ec2-54-69-102-166.us-west-2.compute.amazonaws.com.
54.70.60.122	ec2-54-70-60-122.us-west-2.compute.amazonaws.com.
54.72.170.25	ec2-54-72-170-25.eu-west-1.compute.amazonaws.com.
54.73.138.176	ec2-54-73-138-176.eu-west-1.compute.amazonaws.com.
54.76.112.1	ec2-54-76-112-1.eu-west-1.compute.amazonaws.com.
54.77.103.81	ec2-54-77-103-81.eu-west-1.compute.amazonaws.com.
54.79.59.208	ec2-54-79-59-208.ap-southeast-2.compute.amazonaws.com.
54.80.0.115	ec2-54-80-0-115.compute-1.amazonaws.com.
54.81.216.230	ec2-54-81-216-230.compute-1.amazonaws.com.
54.82.95.186	ec2-54-82-95-186.compute-1.amazonaws.com.
54.83.197.200	ec2-54-83-197-200.compute-1.amazonaws.com.
54.84.186.171	ec2-54-84-186-171.compute-1.amazonaws.com.
54.87.101.172	ec2-54-87-101-172.compute-1.amazonaws.com.
54.88.224.69	ec2-54-88-224-69.compute-1.amazonaws.com.
54.89.97.118	ec2-54-89-97-118.compute-1.amazonaws.com.
54.90.28.16	ec2-54-90-28-16.compute-1.amazonaws.com.
54.91.157.113	ec2-54-91-157-113.compute-1.amazonaws.com.
54.93.172.167	ec2-54-93-172-167.eu-central-1.compute.amazonaws.com.
54.94.250.20	ec2-54-94-250-20.sa-east-1.compute.amazonaws.com.
54.95.66.77	ec2-54-95-66-77.ap-northeast-1.compute.amazonaws.com.
57.68.68.5	NA
57.72.33.4	hkgpan01a.hkg.keysight.com.
58.0.66.73	ntsitm431073.sitm.nt.ftth.ppp.infoweb.ne.jp.
58.10.243.211	cm-58-10-243-211.revip7.asianet.co.th.
58.101.123.81	NA
58.102.230.70	NA
58.108.193.88	static-58-108-193-88.optusnet.com.au.
58.110.122.157	d58-110-122-157.meb800.vic.optusnet.com.au.
58.114.105.166	host-58-114-105-166.dynamic.kbtelecom.net.
58.115.172.239	host-58-115-172-239.dynamic.kbtelecom.net.
58.116.12.187	NA
58.117.241.19	NA
58.118.112.2	NA
58.119.88.1	NA
58.120.209.187	NA
58.121.0.20	NA
58.122.85.132	NA
58.123.100.187	NA
58.124.133.145	NA
58.125.195.236	NA
58.126.112.208	NA
58.127.45.162	NA
58.128.158.4	NA
58.130.108.170	NA
58.131.153.209	NA
58.132.13.9	NA
58.133.152.129	NA
58.134.30.5	NA
58.135.126.82	NA
58.137.112.138	NA
58.138.23.229	229.23.138.58.dy.bbexcite.jp.
58.140.24.15	NA
58.141.250.4	NA
58.142.103.125	NA
58.143.67.27	NA
58.146.196.165	NA
58.148.30.138	NA
58.149.39.166	NA
58.150.84.163	NA
58.151.152.203	NA
58.152.113.77	n058152113077.netvigator.com.
58.153.106.228	n058153106228.netvigator.com.
58.156.38.114	58x156x38x114.ap58.ftth.ucom.ne.jp.
58.16.112.190	NA
58.162.15.131	NA
58.17.221.52	NA
58.172.236.82	CPE-58-172-236-82.nsw.bigpond.net.au.
58.173.158.224	CPE-58-173-158-224.sicz2.woo.bigpond.net.au.
58.174.70.20	CPE-58-174-70-20.sicz1.cha.bigpond.net.au.
58.176.0.49	058176000049.ctinets.com.
58.177.114.100	058177114100.ctinets.com.
58.179.129.36	36.226.dsl.mel.iprimus.net.au.
58.18.172.171	NA
58.181.198.2	NA
58.182.176.171	unknown.maxonline.com.sg.
58.183.152.204	204.152.183.58.megaegg.ne.jp.
58.184.26.52	NA
58.185.136.243	NA
58.187.23.79	adsl-dynamic-pool-xxx.fpt.vn.
58.189.190.140	58-189-190-140f1.hyg2.eonet.ne.jp.
58.190.21.175	58-190-21-175f1.osk2.eonet.ne.jp.
58.191.169.201	58-191-169-201f1.shg1.eonet.ne.jp.
58.20.110.59	NA
58.206.126.23	NA
58.208.135.184	NA
58.209.128.18	NA
58.210.194.6	NA
58.211.136.4	NA
58.212.51.174	NA
58.213.132.147	NA
58.214.182.102	NA
58.215.173.98	NA
58.216.142.70	NA
58.217.106.247	NA
58.218.159.166	NA
58.219.232.115	NA
58.220.235.102	NA
58.221.114.25	NA
58.222.21.43	NA
58.224.12.52	NA
58.225.185.153	NA
58.226.11.159	NA
58.227.192.172	NA
58.228.148.251	NA
58.229.155.76	NA
58.230.143.211	NA
58.231.20.15	NA
58.232.153.154	NA
58.233.119.148	NA
58.234.194.210	NA
58.235.140.53	NA
58.236.164.15	NA
58.237.143.78	NA
58.238.107.179	NA
58.239.115.200	NA
58.240.70.154	NA
58.241.166.42	NA
58.242.17.10	NA
58.243.1.254	NA
58.244.140.190	190.140.244.58.adsl-pool.jlccptt.net.cn.
58.245.69.100	100.69.245.58.adsl-pool.jlccptt.net.cn.
58.246.146.107	NA
58.247.193.73	NA
58.249.125.214	NA
58.250.119.110	NA
58.251.142.133	reverse.gdsz.cncnet.net.
58.252.196.90	NA
58.253.77.169	NA
58.254.168.115	NA
58.255.207.103	NA
58.26.162.226	NA
58.27.192.116	58-27-192-116.wateen.net.
58.30.208.148	NA
58.33.149.212	212.149.33.58.broad.xw.sh.dynamic.163data.com.cn.
58.34.16.68	68.16.34.58.broad.xw.sh.dynamic.163data.com.cn.
58.35.233.253	253.233.35.58.broad.xw.sh.dynamic.163data.com.cn.
58.37.227.164	164.227.37.58.broad.xw.sh.dynamic.163data.com.cn.
58.38.123.60	60.123.38.58.broad.xw.sh.dynamic.163data.com.cn.
58.39.150.4	NA
58.40.123.189	NA
58.42.206.13	NA
58.44.193.158	NA
58.45.146.107	NA
58.46.186.94	NA
58.47.28.205	NA
58.48.138.79	79.138.48.58.broad.wh.hb.dynamic.163data.com.cn.
58.49.108.179	NA
58.50.150.85	NA
58.51.225.111	NA
58.52.137.225	NA
58.53.128.109	NA
58.54.134.13	NA
58.56.241.122	NA
58.57.14.9	NA
58.58.177.115	NA
58.59.39.14	NA
58.6.245.96	58-6-245-96.dyn.iinet.net.au.
58.61.150.4	NA
58.62.253.104	NA
58.63.20.101	NA
58.64.129.149	NA
58.65.113.138	NA
58.67.161.28	NA
58.68.43.140	abs-static-140.43.68.58.aircel.co.in.
58.7.126.92	58-7-126-92.dyn.iinet.net.au.
58.72.115.16	NA
58.75.130.132	NA
58.76.226.100	NA
58.77.0.28	NA
58.8.143.164	ppp-58-8-143-164.revip2.asianet.co.th.
58.83.146.252	NA
58.85.252.242	zaq3a55fcf2.zaq.ne.jp.
58.9.68.12	cm-58-9-68-12.revip16.asianet.co.th.
58.93.137.122	i58-93-137-122.s41.a027.ap.plala.or.jp.
58.95.25.223	i58-95-25-223.s41.a023.ap.plala.or.jp.
58.96.168.215	NA
58.97.74.88	58-97-74-88.static.asianet.co.th.
58.99.75.12	12-75-99-58.tinp.net.tw.
59.0.31.189	NA
59.10.23.63	NA
59.101.71.249	C-59-101-71-249.syd.connect.net.au.
59.102.140.163	NA
59.103.151.175	NA
59.104.176.248	59-104-176-248.adsl.dynamic.seed.net.tw.
59.105.106.192	59-105-106-192.adsl.dynamic.seed.net.tw.
59.107.211.128	NA
59.108.86.98	NA
59.11.12.110	NA
59.115.101.130	59-115-101-130.dynamic.hinet.net.
59.120.0.25	59-120-0-25.HINET-IP.hinet.net.
59.124.223.234	59-124-223-234.HINET-IP.hinet.net.
59.125.102.240	59-125-102-240.HINET-IP.hinet.net.
59.126.107.50	59-126-107-50.HINET-IP.hinet.net.
59.127.110.33	59-127-110-33.HINET-IP.hinet.net.
59.13.149.134	NA
59.133.72.206	ZU072206.ppp.dion.ne.jp.
59.134.37.117	KHP059134037117.ppp-bb.dion.ne.jp.
59.135.102.53	ZV102053.ppp.dion.ne.jp.
59.140.8.204	KHP059140008204.ppp-bb.dion.ne.jp.
59.144.175.41	abts-north-static-041.175.144.59.airtelbroadband.in.
59.146.75.33	p924b21.tokyff01.ap.so-net.ne.jp.
59.147.70.254	p9346fe.tokynt01.ap.so-net.ne.jp.
59.148.126.40	059148126040.ctinets.com.
59.149.165.141	059149165141.ctinets.com.
59.15.238.208	NA
59.151.19.190	NA
59.152.219.62	NA
59.156.149.154	154.149.156.59.ap.dti.ne.jp.
59.160.224.15	59.160.224.15.static.vsnl.net.in.
59.162.195.60	59.162.195.60.static-hyderabad.vsnl.net.in.
59.164.47.239	59.164.47.239.man-dynamic.vsnl.net.in.
59.165.85.108	59.165.85.108.static-hyderabad.vsnl.net.in.
59.166.47.5	59-166-47-5.rev.home.ne.jp.
59.167.135.168	ppp59-167-135-168.static.internode.on.net.
59.17.193.83	NA
59.171.133.160	59-171-133-160.rev.home.ne.jp.
59.172.126.235	235.126.172.59.broad.wh.hb.dynamic.163data.com.cn.
59.173.1.102	102.1.173.59.broad.wh.hb.dynamic.163data.com.cn.
59.174.155.140	140.155.174.59.broad.wh.hb.dynamic.163data.com.cn.
59.175.103.13	13.103.175.59.broad.wh.hb.dynamic.163data.com.cn.
59.176.115.116	static-del-59.176.115.116.bol.net.in.
59.177.120.197	triband-del-59.177.120.197.bol.net.in.
59.178.218.184	triband-del-59.178.218.184.bol.net.in.
59.180.235.3	triband-del-59.180.235.3.bol.net.in.
59.181.126.53	static-mum-59.181.126.53.mtnl.net.in.
59.186.9.181	NA
59.187.247.153	NA
59.188.236.228	NA
59.189.185.69	unknown.maxonline.com.sg.
59.190.170.135	59-190-170-135f1.nar1.eonet.ne.jp.
59.20.177.146	NA
59.21.10.45	NA
59.22.160.32	NA
59.23.43.48	NA
59.24.141.170	NA
59.25.81.130	NA
59.252.170.29	NA
59.26.3.199	NA
59.28.33.187	NA
59.29.216.154	NA
59.30.201.132	NA
59.31.232.91	NA
59.32.109.61	61.109.32.59.broad.mz.gd.dynamic.163data.com.cn.
59.33.187.108	108.187.33.59.broad.hz.gd.dynamic.163data.com.cn.
59.34.131.152	NA
59.35.175.253	253.175.35.59.broad.sw.gd.dynamic.163data.com.cn.
59.36.20.105	105.20.36.59.broad.dg.gd.dynamic.163data.com.cn.
59.37.26.117	NA
59.38.193.122	122.193.38.59.broad.fs.gd.dynamic.163data.com.cn.
59.39.10.98	NA
59.40.1.206	206.1.40.59.broad.sz.gd.dynamic.163data.com.cn.
59.41.223.108	NA
59.42.106.242	NA
59.44.39.237	NA
59.45.34.214	214.34.45.59.broad.dd.ln.dynamic.163data.com.cn.
59.46.141.94	NA
59.47.36.29	29.36.47.59.broad.bx.ln.dynamic.163data.com.cn.
59.48.240.242	242.240.48.59.broad.ll.sx.dynamic.163data.com.cn.
59.49.195.251	NA
59.5.240.48	NA
59.51.114.83	NA
59.52.254.165	NA
59.53.216.135	135.216.53.59.broad.nc.jx.dynamic.163data.com.cn.
59.55.144.157	157.144.55.59.broad.nc.jx.dynamic.163data.com.cn.
59.56.174.147	NA
59.57.242.162	NA
59.58.114.118	118.114.58.59.broad.pt.fj.dynamic.163data.com.cn.
59.59.65.172	172.65.59.59.broad.zz.fj.dynamic.163data.com.cn.
59.60.1.125	NA
59.61.79.22	NA
59.62.165.125	NA
59.63.178.190	NA
59.65.135.221	NA
59.66.141.86	NA
59.67.107.73	NA
59.7.113.123	NA
59.72.128.9	homework.beihua.edu.cn.
59.73.208.50	NA
59.78.46.47	NA
59.8.225.219	NA
59.84.205.66	p066.net059084205.tokai.or.jp.
59.85.49.10	10.net059085049.t-com.ne.jp.
59.86.238.78	NA
59.87.126.228	59x87x126x228.ap59.ftth.ucom.ne.jp.
59.88.216.196	NA
59.89.122.129	NA
59.90.103.82	static.ill.59.90.103.82/24.bsnl.in.
59.91.101.75	NA
59.93.119.29	NA
59.94.114.231	NA
59.95.241.4	NA
59.96.225.72	NA
59.97.149.254	NA
59.98.0.146	NA
59.99.230.96	NA
60.0.252.248	NA
60.10.134.50	NA
60.11.193.230	NA
60.12.104.102	NA
60.129.56.69	softbank060129056069.bbtec.net.
60.13.146.227	NA
60.132.2.158	softbank060132002158.bbtec.net.
60.133.170.215	softbank060133170215.bbtec.net.
60.138.169.110	softbank060138169110.bbtec.net.
60.14.111.54	NA
60.142.23.154	softbank060142023154.bbtec.net.
60.144.246.93	softbank060144246093.bbtec.net.
60.146.68.165	softbank060146068165.bbtec.net.
60.148.115.102	softbank060148115102.bbtec.net.
60.15.229.136	NA
60.153.93.80	softbank060153093080.bbtec.net.
60.16.3.5	NA
60.161.13.181	181.13.161.60.broad.hh.yn.dynamic.163data.com.cn.
60.162.141.164	164.141.162.60.broad.tz.zj.dynamic.163data.com.cn.
60.163.103.137	137.103.163.60.broad.jx.zj.dynamic.163data.com.cn.
60.164.173.49	49.173.164.60.dail.jq.gs.dynamic.163data.com.cn.
60.165.136.67	67.136.165.60.dail.by.gs.dynamic.163data.com.cn.
60.166.238.80	NA
60.167.14.239	NA
60.168.58.243	NA
60.169.1.47	NA
60.17.139.111	NA
60.171.153.90	NA
60.172.246.27	NA
60.173.10.142	NA
60.174.234.171	NA
60.175.252.101	NA
60.176.46.45	45.46.176.60.broad.hz.zj.dynamic.163data.com.cn.
60.177.16.90	90.16.177.60.broad.hz.zj.dynamic.163data.com.cn.
60.180.176.111	111.176.180.60.broad.wz.zj.dynamic.163data.com.cn.
60.182.118.247	247.118.182.60.broad.jh.zj.dynamic.163data.com.cn.
60.183.76.221	221.76.183.60.broad.sx.zj.dynamic.163data.com.cn.
60.184.115.244	NA
60.185.55.139	139.55.185.60.broad.qz.zj.dynamic.163data.com.cn.
60.186.106.215	215.106.186.60.broad.hz.zj.dynamic.163data.com.cn.
60.187.91.250	250.91.187.60.broad.sx.zj.dynamic.163data.com.cn.
60.188.163.145	NA
60.189.179.104	NA
60.190.118.153	NA
60.191.10.98	NA
60.195.218.27	NA
60.196.82.71	NA
60.198.32.70	60-198-32-70.dynamic.tfn.ent.tw.
60.199.223.198	60-199-223-198.static.tfn.net.tw.
60.20.106.210	NA
60.208.209.222	NA
60.209.144.15	NA
60.210.221.8	NA
60.211.144.121	NA
60.212.117.70	NA
60.213.133.83	NA
60.214.104.182	NA
60.215.218.201	NA
60.216.13.15	NA
60.217.134.236	NA
60.218.216.214	NA
60.219.156.241	NA
60.22.140.142	NA
60.221.139.87	87.139.221.60.adsl-pool.sx.cn.
60.222.194.208	208.194.222.60.adsl-pool.sx.cn.
60.223.247.174	174.247.223.60.adsl-pool.sx.cn.
60.23.152.25	NA
60.231.79.129	CPE-60-231-79-129.lns8.cha.bigpond.net.au.
60.234.58.18	aklmail.phitek.com.
60.237.164.58	FL1-60-237-164-58.chb.mesh.ad.jp.
60.238.242.150	FLH1Afs150.tky.mesh.ad.jp.
60.239.246.230	FL1-60-239-246-230.kng.mesh.ad.jp.
60.240.17.139	60-240-17-139.static.tpgi.com.au.
60.241.183.120	60-241-183-120.static.tpgi.com.au.
60.242.22.7	60-242-22-7.static.tpgi.com.au.
60.243.65.218	NA
60.244.2.16	60-244-2-16.tinp.apol.com.tw.
60.246.101.213	nz101l213.bb60246.ctm.net.
60.247.127.210	NA
60.248.115.71	MAIL.E-SPEED.COM.TW.
60.249.1.1	60-249-1-1.HINET-IP.hinet.net.
60.250.104.69	60-250-104-69.HINET-IP.hinet.net.
60.251.130.193	60-251-130-193.HINET-IP.hinet.net.
60.252.167.108	NA
60.253.15.75	NA
60.254.28.157	NA
60.26.167.89	no-data.
60.27.173.103	no-data.
60.28.102.133	no-data.
60.29.220.182	no-data.
60.30.73.78	no-data.
60.31.224.250	NA
60.35.90.237	i60-35-90-237.s04.a027.ap.plala.or.jp.
60.36.224.37	i60-36-224-37.s42.a008.ap.plala.or.jp.
60.38.19.13	p8013-ipad205sapodori.hokkaido.ocn.ne.jp.
60.39.161.209	p4209-ipbf607fukuhanazo.fukushima.ocn.ne.jp.
60.4.114.54	NA
60.41.113.239	i60-41-113-239.s04.a011.ap.plala.or.jp.
60.42.81.21	i60-42-81-21.s41.a017.ap.plala.or.jp.
60.43.93.175	p3175-ipbf207hiraide.tochigi.ocn.ne.jp.
60.44.147.22	p2022-ipbf14daianji.nara.ocn.ne.jp.
60.45.101.130	p18002-ipadfx01niigatani.niigata.ocn.ne.jp.
60.46.168.63	i60-46-168-63.s05.a010.ap.plala.or.jp.
60.48.93.140	140.93.48.60.kmr02-home.tm.net.my.
60.49.104.99	99.104.49.60.brf03-home.tm.net.my.
60.50.225.2	2.225.50.60.jb01-home.tm.net.my.
60.51.121.252	NA
60.52.112.234	NA
60.53.126.191	NA
60.54.23.1	NA
60.55.55.33	NA
60.56.187.42	60-56-187-42f1.hyg1.eonet.ne.jp.
60.6.127.55	NA
60.62.118.110	60-62-118-110.rev.home.ne.jp.
60.7.219.87	NA
60.74.247.155	softbank060074247155.bbtec.net.
60.8.36.142	NA
60.9.13.140	NA
61.100.11.101	NA
61.101.211.208	NA
61.102.1.153	NA
61.105.0.44	NA
61.106.191.38	NA
61.109.121.131	NA
61.111.10.86	61-111-10-86.kidc.net.
61.112.161.104	p7040-ipbffx02fukui.fukui.ocn.ne.jp.
61.114.26.187	3d721abb.tcat.ne.jp.
61.116.140.211	SKNfa-03p1-211.ppp11.odn.ad.jp.
61.12.0.130	Firewall.netedgecomputing.com.
61.122.210.47	host-61-122-210-47.mctv.ne.jp.
61.124.148.164	ntkngw311164.kngw.nt.ngn.ppp.infoweb.ne.jp.
61.125.67.167	zaq3d7d43a7.zaq.ne.jp.
61.128.100.235	NA
61.129.34.171	NA
61.130.10.146	NA
61.131.34.3	NA
61.132.161.130	NA
61.133.118.83	NA
61.134.122.168	NA
61.135.194.172	NA
61.136.153.165	NA
61.137.219.4	NA
61.138.243.24	NA
61.139.140.245	245.140.139.61.adsl-pool.jlccptt.net.cn.
61.140.154.81	81.154.140.61.broad.gz.gd.dynamic.163data.com.cn.
61.141.152.58	NA
61.142.114.232	NA
61.143.137.139	NA
61.144.122.121	NA
61.145.122.143	NA
61.146.152.130	NA
61.147.103.102	NA
61.148.16.214	NA
61.149.252.54	NA
61.150.109.162	162.109.150.61.broad.ak.sn.dynamic.163data.com.cn.
61.152.104.230	NA
61.153.213.190	NA
61.154.135.26	NA
61.155.106.35	NA
61.156.42.24	NA
61.157.114.54	54.114.157.61.dial.nc.sc.dynamic.163data.com.cn.
61.158.162.229	229.162.158.61.ha.cnc.
61.159.16.39	NA
61.160.137.207	NA
61.161.143.177	NA
61.162.175.63	NA
61.163.34.13	hn.ly.kd.adsl.
61.164.100.94	NA
61.166.111.201	NA
61.167.167.50	NA
61.168.11.39	pc39.zz.ha.cn.
61.170.138.0	0.138.170.61.broad.xw.sh.dynamic.163data.com.cn.
61.171.220.80	80.220.171.61.broad.xw.sh.dynamic.163data.com.cn.
61.172.142.41	NA
61.173.176.216	216.176.173.61.broad.xw.sh.dynamic.163data.com.cn.
61.174.27.3	NA
61.175.100.10	NA
61.176.220.135	NA
61.177.119.227	NA
61.178.103.134	134.103.178.61.dail.qy.gs.dynamic.163data.com.cn.
61.179.148.8	NA
61.180.31.43	NA
61.181.24.2	NA
61.182.110.34	NA
61.183.0.26	NA
61.184.101.26	NA
61.185.123.110	NA
61.186.249.184	184.236.186.61.cq.cq.cta.net.cn.
61.187.251.68	NA
61.188.189.10	10.189.188.61.broad.nc.sc.dynamic.163data.com.cn.
61.189.193.140	NA
61.190.177.38	NA
61.191.188.132	NA
61.192.171.141	141.171.192.61.east.global.crust-r.net.
61.194.188.184	pl440.nas811.matsuyama.nttpc.ne.jp.
61.195.149.50	NA
61.198.92.15	b-bf2-1015.noc.ntt-west.nsk.ne.jp.
61.200.102.69	p069.net061200102.tokai.or.jp.
61.21.17.4	61-21-17-4.rev.home.ne.jp.
61.211.205.69	p069.net061211205.tokai.or.jp.
61.213.35.177	3dd523b1.catv296.ne.jp.
61.215.187.197	d-61-215-187-197.ftth.katch.ne.jp.
61.218.162.92	61-218-162-92.HINET-IP.hinet.net.
61.219.55.94	61-219-55-94.HINET-IP.hinet.net.
61.220.200.220	61-220-200-220.HINET-IP.hinet.net.
61.221.126.197	61-221-126-197.HINET-IP.hinet.net.
61.222.104.14	61-222-104-14.HINET-IP.hinet.net.
61.223.12.160	61-223-12-160.dynamic.hinet.net.
61.224.147.98	61-224-147-98.dynamic.hinet.net.
61.227.113.42	61-227-113-42.dynamic.hinet.net.
61.228.133.86	61-228-133-86.dynamic.hinet.net.
61.230.118.122	61-230-118-122.dynamic.hinet.net.
61.231.108.252	61-231-108-252.dynamic.hinet.net.
61.233.6.82	NA
61.234.104.167	NA
61.235.46.146	NA
61.236.186.46	NA
61.237.235.7	NA
61.238.123.187	061238123187.ctinets.com.
61.239.120.157	061239120157.ctinets.com.
61.240.144.64	NA
61.241.223.180	NA
61.242.50.106	NA
61.244.102.74	061244102074.ctinets.com.
61.245.112.2	61.245.112.2.er.eaccess.ne.jp.
61.247.147.125	NA
61.250.209.19	NA
61.251.220.198	NA
61.252.233.145	NA
61.253.13.47	NA
61.254.188.79	NA
61.255.190.71	NA
61.26.116.38	61-26-116-38.rev.home.ne.jp.
61.27.106.23	61-27-106-23.rev.home.ne.jp.
61.30.73.200	61-30-73-200.static.tfn.net.tw.
61.31.131.59	61-31-131-59.dynamic.tfn.net.tw.
61.33.10.54	NA
61.34.103.146	NA
61.35.225.48	NA
61.36.244.87	NA
61.37.11.106	NA
61.38.162.67	NA
61.39.150.69	NA
61.40.112.238	NA
61.41.1.185	NA
61.42.227.135	NA
61.43.137.210	NA
61.44.102.74	74.102.44.61.ap.yournet.ne.jp.
61.45.50.12	g12.61-45-50.ppp.wakwak.ne.jp.
61.46.73.210	zaq3d2e49d2.zaq.ne.jp.
61.47.225.98	NA
61.48.59.65	NA
61.49.7.156	NA
61.50.187.115	NA
61.51.103.158	NA
61.52.145.129	hn.kd.dhcp.
61.53.87.150	hn.kd.dhcp.
61.54.222.86	hn.kd.dhcp.
61.55.122.145	NA
61.56.160.110	NA
61.57.122.164	61-57-122-164.nty.dynamic.tbcnet.net.tw.
61.58.16.124	NA
61.59.105.108	h108-61-59-105.seed.net.tw.
61.60.217.161	NA
61.61.224.24	NA
61.62.108.164	61-62-108-164-adsl-tpe.dynamic.so-net.net.tw.
61.63.108.85	61-63-108-85.nty.dynamic.tbcnet.net.tw.
61.64.109.167	61-64-109-167-adsl-kao.dynamic.so-net.net.tw.
61.65.149.194	194-149-65-61.savecom.net.tw.
61.66.218.121	NA
61.67.114.38	38.61.67.114.tw-airnet.net.
61.69.0.122	61-69-0-122.netspeed.com.au.
61.70.144.69	host-61-70-144-69.static.kbtelecom.net.
61.72.169.79	NA
61.73.65.129	NA
61.74.80.65	NA
61.75.216.248	NA
61.76.35.175	NA
61.77.101.15	NA
61.78.120.202	NA
61.79.253.215	NA
61.8.111.105	61-8-111-105.intrapower.net.au.
61.81.67.134	NA
61.82.160.222	NA
61.83.222.74	NA
61.84.123.134	NA
61.85.37.162	NA
61.88.35.118	NA
61.89.237.3	ipbfp006-003.kcn.ne.jp.
61.90.10.24	ppp-61-90-10-24.revip.asianet.co.th.
61.91.144.153	ppp-61-91-144-153.revip15.asianet.co.th.
61.92.128.78	061092128078.ctinets.com.
61.93.13.107	061093013107.ctinets.com.
61.94.228.45	NA
61.95.144.5	NA
61.97.235.13	NA
61.98.11.164	NA
